Date,Team,Acquired,Relinquished,Notes
2024-01-02,Lakers,,Rui Hachimura,strained left calf (DTD)
2024-01-03,Blazers,Toumani Camara,,returned to lineup
2024-01-03,Grizzlies,,Derrick Rose,strained left hamstring (DTD)
2024-01-03,Lakers,Cam Reddish,,returned to lineup
2024-01-03,Nets,,Dennis Smith Jr.,sore lower back (DTD)
2024-01-03,Pacers,,Andrew Nembhard,back injury (DTD)
2024-01-03,Pelicans,,Jeremiah Robinson-Earl,illness (DTD)
2024-01-04,Hornets,Brandon Miller,,returned to lineup
2024-01-04,Spurs,,Malaki Branham,sprained right ankle (DTD)
2024-01-04,Hawks,,Vit Krejci,left shoulder sublaxation (DTD)
2024-01-05,Bulls,,Alex Caruso,cervical injury (DTD)
2024-01-05,Magic,,Goga Bitadze,illness (DTD)
2024-01-05,Magic,,Wendell Carter Jr.,right knee tendinitis (DTD)
2024-01-05,Nets,Dennis Smith Jr.,,returned to lineup
2024-01-05,Pelicans,Jeremiah Robinson-Earl,,returned to lineup
2024-01-05,Raptors,,Gary Trent Jr.,bruised left quadriceps (DTD)
2024-01-06,76ers,,Joel Embiid,left knee injury (DTD)
2024-01-07,Magic,Goga Bitadze,,returned to lineup
2024-01-07,Raptors,Gary Trent Jr.,,returned to lineup
2024-01-07,Spurs,Malaki Branham,,returned to lineup
2024-01-08,Blazers,,Moses Brown,surgery on left wrist to repair non-displaced fracture (out indefinitely) (date approximate)
2024-01-08,Bulls,Alex Caruso,,returned to lineup
2024-01-08,Grizzlies,,Ja Morant,surgery on right shoulder to repair labrum (out for season)
2024-01-09,Grizzlies,,Santi Aldama,bruised left knee (DTD)
2024-01-09,Nets,,Day'Ron Sharpe,hyperextended left knee (DTD)
2024-01-09,Magic,,Wendell Carter Jr.,right knee tendinitis (DTD)
2024-01-10,Pacers,,Jalen Smith,sore lower back (DTD)
2024-01-10,Raptors,,Pascal Siakam,back spasms (DTD)
2024-01-11,Lakers,,Christian Wood,migraine headache (DTD)
2024-01-12,76ers,,Kelly Oubre Jr.,right big toe injury (DTD)
2024-01-12,Pacers,Jalen Smith,,returned to lineup
2024-01-12,Raptors,Pascal Siakam,,returned to lineup
2024-01-13,Bulls,,Patrick Williams,sprained right ankle (DTD)
2024-01-13,Grizzlies,,Desmond Bane,sprained left ankle (out indefinitely)
2024-01-13,Grizzlies,,Jaren Jackson Jr.,bruised right knee (DTD)
2024-01-13,Knicks,,Jalen Brunson,bruised left calf (DTD)
2024-01-13,Lakers,Christian Wood,,returned to lineup
2024-01-13,Pelicans,,Trey Murphy III,left knee tendinitis (DTD)
2024-01-14,76ers,Kelly Oubre Jr.,,returned to lineup
2024-01-14,Blazers,,Jerami Grant,illness (DTD)
2024-01-14,Blazers,,Malcolm Brogdon,groin injury (DTD)
2024-01-14,Blazers,,Matisse Thybulle,illness (DTD)
2024-01-14,Clippers,,Ivica Zubac,right calf injury (DTD)
2024-01-14,Grizzlies,,Jake LaRavia,sprained left ankle (DTD)
2024-01-14,Heat,,Kevin Love,bruised left knee (DTD)
2024-01-14,Hornets,,Brandon Miller,bruised lower back (DTD)
2024-01-15,Grizzlies,Jaren Jackson Jr.,,returned to lineup
2024-01-15,Grizzlies,Santi Aldama,,returned to lineup
2024-01-15,Magic,Wendell Carter Jr.,,returned to lineup
2024-01-15,Pacers,,Bruce Brown,bruised right knee (DTD)
2024-01-15,Pelicans,Trey Murphy III,,returned to lineup
2024-01-15,Raptors,,Gradey Dick,sprained right thumb (DTD)
2024-01-15,Nets,,Dariq Whitehead,right foot injury (DTD)
2024-01-16,76ers,,Danuel House Jr.,lumbar spine injury (DTD)
2024-01-16,Blazers,Jerami Grant,,returned to lineup
2024-01-16,Blazers,Matisse Thybulle,,returned to lineup
2024-01-16,Suns,,Yuta Watanabe,illness (DTD)
2024-01-17,Blazers,Malcolm Brogdon,,returned to lineup
2024-01-17,Knicks,Jalen Brunson,,returned to lineup
2024-01-17,Raptors,Gradey Dick,,returned to lineup
2024-01-17,Raptors,Christian Koloko,,returned to lineup
2024-01-18,76ers,Danuel House Jr.,,returned to lineup
2024-01-18,Bulls,Patrick Williams,,returned to lineup
2024-01-18,Suns,Yuta Watanabe,,returned to lineup
2024-01-19,Pistons,,Isaiah Stewart,sprained left ankle (DTD)
2024-01-20,Cavaliers,,Caris LeVert,sprained right wrist (DTD)
2024-01-20,Grizzlies,,Xavier Tillman,sore left knee (DTD)
2024-01-22,Grizzlies,Xavier Tillman,,returned to lineup
2024-01-22,Pistons,Isaiah Stewart,,returned to lineup
2024-01-23,Pacers,,Jalen Smith,sore lower back (DTD)
2024-01-24,Cavaliers,Caris LeVert,,returned to lineup
2024-01-24,Grizzlies,,Santi Aldama,sore right knee (DTD)
2024-01-24,Lakers,,Cam Reddish,sprained right ankle (DTD)
2024-01-24,Rockets,,Jabari Smith Jr.,sprained left ankle (DTD)
2024-01-25,76ers,,Tobias Harris,illness (DTD)
2024-01-25,Cavaliers,,Ty Jerome,surgery on right ankle (out for season)
2024-01-25,Pacers,Jalen Smith,,returned to lineup
2024-01-26,Grizzlies,Santi Aldama,,returned to lineup
2024-01-26,Pelicans,,Zion Williamson,bruised left foot (DTD)
2024-01-27,76ers,,Joel Embiid,sore left knee (DTD)
2024-01-27,Bulls,,Patrick Williams,sore left foot (DTD)
2024-01-27,Hornets,,Frank Ntilikina,left hip injury (DTD)
2024-01-27,Pelicans,Zion Williamson,,returned to lineup
2024-01-28,Hawks,,Dejounte Murray,tightness in right hamstring (DTD)
2024-01-28,Pistons,,Cade Cunningham,left knee injury (DTD)
2024-01-29,Grizzlies,,Vince Williams Jr.,sore left knee (DTD)
2024-01-29,Grizzlies,,Ziaire Williams,sore left hand (DTD)
2024-01-29,Hornets,Frank Ntilikina,,returned to lineup
2024-01-29,Knicks,,O.G. Anunoby,right elbow inflammation (DTD)
2024-01-30,76ers,,Marcus Morris,plantar fasciitis in left foot (DTD)
2024-01-30,Hawks,Dejounte Murray,,returned to lineup
2024-01-30,Warriors,,Klay Thompson,illness (DTD)
2024-01-31,Grizzlies,Vince Williams Jr.,,returned to lineup
2024-01-31,Pistons,Cade Cunningham,,returned to lineup
2024-01-31,Wizards,,Jordan Poole,illness (DTD)
2024-02-01,Warriors,Klay Thompson,,returned to lineup
2024-02-02,Blazers,,Jerami Grant,tightness in lower back (DTD)
2024-02-02,Lakers,,Jarred Vanderbilt,foot injury (out indefinitely)
2024-02-02,Pacers,,Jalen Smith,lower back spasms (DTD)
2024-02-02,Wizards,Jordan Poole,,returned to lineup
2024-02-03,76ers,,Tobias Harris,illness (DTD)
2024-02-03,Nets,,Dennis Smith Jr.,sore right foot (DTD)
2024-02-04,Grizzlies,,Derrick Rose,left hamstring injury (DTD)
2024-02-04,Grizzlies,,John Konchar,bruised right calf (DTD)
2024-02-04,Grizzlies,,Santi Aldama,bruised tailbone (DTD)
2024-02-04,Grizzlies,,Vince Williams Jr.,sore left wrist (DTD)
2024-02-04,Heat,,Tyler Herro,headache (DTD)
2024-02-04,Hornets,,Frank Ntilikina,right hip impingement (DTD)
2024-02-04,Pacers,Jalen Smith,,returned to lineup
2024-02-05,76ers,Tobias Harris,,returned to lineup
2024-02-05,Hawks,Vit Krejci,,returned to lineup
2024-02-05,Nets,Dennis Smith Jr.,,returned to lineup
2024-02-06,Grizzlies,Derrick Rose,,returned to lineup
2024-02-06,Grizzlies,John Konchar,,returned to lineup
2024-02-06,Grizzlies,Santi Aldama,,returned to lineup
2024-02-06,Grizzlies,Vince Williams Jr.,,returned to lineup
2024-02-06,Heat,Tyler Herro,,returned to lineup
2024-02-07,76ers,,Danuel House Jr.,sore right foot (DTD)
2024-02-07,76ers,,Marcus Morris,plantar fasciitis in foot (DTD)
2024-02-07,Hawks,,Dejounte Murray,tightness in lower back (DTD)
2024-02-07,Pistons,,Bojan Bogdanovic,sore left calf (DTD)
2024-02-07,Pistons,,Cade Cunningham,left knee injury (DTD)
2024-02-08,Blazers,,Duop Reath,right knee tendinitis (DTD)
2024-02-08,Blazers,,Scoot Henderson,sprained left foot (DTD)
2024-02-08,Blazers,Jerami Grant,,returned to lineup
2024-02-08,Grizzlies,,Derrick Rose,sore right ankle (DTD)
2024-02-08,Grizzlies,,Luke Kennard,illness (DTD)
2024-02-08,Knicks,,Duane Washington Jr.,right thumb injury (DTD)
2024-02-08,Knicks,,Jalen Brunson,sprained right ankle (DTD)
2024-02-08,Knicks,,O.G. Anunoby,surgery on right elbow (out indefinitely)
2024-02-08,Lakers,,D'Angelo Russell,sore left knee (DTD)
2024-02-08,Pistons,Cade Cunningham,,returned to lineup
2024-02-09,Grizzlies,Luke Kennard,,returned to lineup
2024-02-09,Hawks,,Wes Matthews Jr.,illness (DTD)
2024-02-09,Lakers,,Max Christie,sprained right ankle (DTD)
2024-02-09,Lakers,D'Angelo Russell,,returned to lineup
2024-02-09,Nuggets,,Michael Porter Jr.,right knee injury (DTD)
2024-02-10,Grizzlies,Derrick Rose,,returned to lineup
2024-02-10,Hawks,,De'Andre Hunter,right knee injury (DTD)
2024-02-10,Hawks,Dejounte Murray,,returned to lineup
2024-02-10,Knicks,Jalen Brunson,,returned to lineup
2024-02-10,Pelicans,,Cody Zeller,bruised/sore left knee (DTD)
2024-02-12,Bulls,,Alex Caruso,toe injury (DTD)
2024-02-12,Grizzlies,,Derrick Rose,sore right ankle (DTD)
2024-02-12,Hawks,De'Andre Hunter,,returned to lineup
2024-02-12,Knicks,Duane Washington Jr.,,returned to lineup
2024-02-12,Nuggets,Michael Porter Jr.,,returned to lineup
2024-02-12,Timberwolves,,Wendell Moore Jr.,sore left knee (DTD)
2024-02-13,Blazers,Scoot Henderson,,returned to lineup
2024-02-13,Hawks,,Onyeka Okongwu,sprained toe (out indefinitely)
2024-02-13,Kings,,Trey Lyles,illness (DTD)
2024-02-14,Bulls,Alex Caruso,,returned to lineup
2024-02-14,Cavaliers,,Sam Merrill,illness (DTD)
2024-02-14,Grizzlies,Derrick Rose,,returned to lineup
2024-02-14,Kings,Trey Lyles,,returned to lineup
2024-02-14,Knicks,,Bojan Bogdanovic,sore left calf (DTD)
2024-02-14,Knicks,,Donte DiVincenzo,right hamstring injury (DTD)
2024-02-14,Pacers,,Bennedict Mathurin,bruised right knee (DTD)
2024-02-15,Blazers,,Shaedon Sharpe,abdominal surgery (out indefinitely)
2024-02-15,Grizzlies,,Derrick Rose,sore right ankle (DTD)
2024-02-15,Grizzlies,,Luke Kennard,sore left knee (DTD)
2024-02-15,Pelicans,,Dyson Daniels,surgery on left knee (out indefinitely)
2024-02-20,Knicks,Bojan Bogdanovic,,returned to lineup
2024-02-20,Knicks,Donte DiVincenzo,,returned to lineup
2024-02-21,Cavaliers,Sam Merrill,,returned to lineup
2024-02-22,Bulls,,Torrey Craig,sprained right knee (DTD)
2024-02-22,Grizzlies,Luke Kennard,,returned to lineup
2024-02-22,Nuggets,,Braxton Key,illness (DTD)
2024-02-22,Pacers,Bennedict Mathurin,,returned to lineup
2024-02-23,Bulls,,Patrick Williams,surgery on left foot (out for season)
2024-02-23,Clippers,,Norman Powell,sprained right ankle (DTD)
2024-02-23,Grizzlies,Derrick Rose,,returned to lineup
2024-02-23,Hornets,,Davis Bertans,hyperextended left knee (DTD)
2024-02-23,Nuggets,Braxton Key,,returned to lineup
2024-02-23,Wizards,,Deni Avdija,bruised left heel (DTD)
2024-02-25,Clippers,Norman Powell,,returned to lineup
2024-02-25,Grizzlies,,John Konchar,sprained left thumb (DTD)
2024-02-25,Hornets,,Seth Curry,sore right hip (DTD)
2024-02-25,Wizards,,Corey Kispert,illness (DTD)
2024-02-27,Hornets,Davis Bertans,,returned to lineup
2024-02-27,Hornets,Seth Curry,,returned to lineup
2024-02-27,Knicks,,Isaiah Hartenstein,left Achilles injury (DTD)
2024-02-27,Knicks,,Jalen Brunson,neck spasms (DTD)
2024-02-27,Wizards,Corey Kispert,,returned to lineup
2024-02-28,Knicks,Isaiah Hartenstein,,returned to lineup
2024-02-29,Knicks,Jalen Brunson,,returned to lineup
2024-02-29,Nets,,Ben Simmons,sore leg (DTD)
2024-03-01,76ers,,Kelly Oubre Jr.,sore right shoulder (DTD)
2024-03-01,Cavaliers,,Caris LeVert,sprained right elbow (DTD)
2024-03-01,Hornets,,Brandon Miller,bruised lower back (DTD)
2024-03-02,Grizzlies,John Konchar,,returned to lineup
2024-03-03,76ers,,Cameron Payne,illness (DTD)
2024-03-03,76ers,Kelly Oubre Jr.,,returned to lineup
2024-03-03,Hornets,,Nick Richards,plantar fasciitis in right foot (DTD)
2024-03-03,Hornets,Brandon Miller,,returned to lineup
2024-03-03,Pistons,,Quentin Grimes,sore right knee (DTD)
2024-03-03,Suns,,Josh Okogie,strained abdominal / right hip injury (DTD)
2024-03-04,Blazers,,Toumani Camara,illness (DTD)
2024-03-04,Grizzlies,,Yuta Watanabe,sprained right wrist (out for season)
2024-03-04,Rockets,,Tari Eason,surgery on left leg to remove benign growth (out for season)
2024-03-05,76ers,Cameron Payne,,returned to lineup
2024-03-05,Grizzlies,,Ziaire Williams,strained hip flexor (out for season)
2024-03-05,Hawks,,Kobe Bufkin,toe injury (DTD)
2024-03-05,Heat,,Josh Richardson,surgery on right shoulder (out for season)
2024-03-05,Hornets,Nick Richards,,returned to lineup
2024-03-05,Knicks,,Jalen Brunson,bruised left knee (DTD)
2024-03-06,Magic,,Gary Harris,right calf injury (DTD)
2024-03-06,Magic,,Wendell Carter Jr.,sore right knee (DTD)
2024-03-06,Timberwolves,,Karl-Anthony Towns,sore left knee (DTD)
2024-03-08,76ers,,Nicolas Batum,sore left foot (DTD)
2024-03-08,Blazers,Toumani Camara,,returned to lineup
2024-03-08,Grizzlies,,G.G. Jackson,sore left knee (DTD)
2024-03-08,Grizzlies,,Luke Kennard,sore left knee (DTD)
2024-03-08,Hornets,,Tre Mann,strained left groin (DTD)
2024-03-08,Knicks,Jalen Brunson,,returned to lineup
2024-03-08,Magic,Wendell Carter Jr.,,returned to lineup
2024-03-09,76ers,Nicolas Batum,,returned to lineup
2024-03-09,Pacers,,Bennedict Mathurin,surgery on right shoulder to repair labrum (out for season)
2024-03-09,Raptors,,R.J. Barrett,illness (DTD)
2024-03-09,Spurs,,Devin Vassell,bruised left hip (DTD)
2024-03-10,Grizzlies,,John Konchar,sore right ankle (DTD)
2024-03-10,Grizzlies,,Vince Williams Jr.,patellar injury in left knee (out for season)
2024-03-10,Grizzlies,G.G. Jackson,,returned to lineup
2024-03-10,Grizzlies,Luke Kennard,,returned to lineup
2024-03-10,Timberwolves,,Kyle Anderson,sore right shoulder (DTD)
2024-03-10,Timberwolves,,Rudy Gobert,tightness in right hamstring (DTD)
2024-03-10,Wizards,,Richaun Holmes,sprained left big toe (DTD)
2024-03-11,Pistons,,Ausar Thompson,illness (DTD)
2024-03-11,Raptors,,Gary Trent Jr.,strained right groin (DTD)
2024-03-11,Raptors,R.J. Barrett,,returned to lineup
2024-03-11,Spurs,Devin Vassell,,returned to lineup
2024-03-12,Grizzlies,,Lamar Stevens,left adductor injury (DTD)
2024-03-12,Grizzlies,John Konchar,,returned to lineup
2024-03-12,Pacers,,James Johnson,illness (DTD)
2024-03-12,Timberwolves,Kyle Anderson,,returned to lineup
2024-03-12,Timberwolves,Rudy Gobert,,returned to lineup
2024-03-13,Hornets,,Amari Bailey,illness (DTD)
2024-03-13,Pacers,James Johnson,,returned to lineup
2024-03-15,Hawks,,Bogdan Bogdanovic,illness (DTD)
2024-03-15,Hornets,Amari Bailey,,returned to lineup
2024-03-15,Raptors,Gary Trent Jr.,,returned to lineup
2024-03-16,Cavaliers,,Dean Wade,sore right knee (DTD)
2024-03-16,Pelicans,,Herb Jones (Keyshawn),bruised lower back (DTD)
2024-03-16,Wizards,,Deni Avdija,bruised right knee (DTD)
2024-03-17,76ers,,Kai Jones,strained right hamstring (DTD)
2024-03-17,Celtics,,Jaylen Brown,sprained right ankle (DTD)
2024-03-17,Hawks,Bogdan Bogdanovic,,returned to lineup
2024-03-17,Heat,,Jimmy Butler,bruised right foot (DTD)
2024-03-17,Heat,,Nikola Jovic,strained right hamstring (DTD)
2024-03-17,Wizards,,Bilal Coulibaly,fractured right wrist (out for season)
2024-03-18,Celtics,Jaylen Brown,,returned to lineup
2024-03-18,Pistons,,Cade Cunningham,left knee injury (DTD)
2024-03-18,Pistons,,Simone Fontecchio,bruised left toe (out for season)
2024-03-19,Pelicans,Herb Jones (Keyshawn),,returned to lineup
2024-03-19,Pistons,Cade Cunningham,,returned to lineup
2024-03-20,Heat,Jimmy Butler,,returned to lineup
2024-03-20,Heat,Nikola Jovic,,returned to lineup
2024-03-20,Pistons,,Taj Gibson,right hamstring injury (DTD)
2024-03-21,Pistons,,Stanley Umude,fractured right ankle (out for season)
2024-03-22,Pistons,,Jalen Duren,back spasms (DTD)
2024-03-22,Raptors,,Gary Trent Jr.,tightness in lower back (DTD)
2024-03-23,Hornets,,J.T. Thor,left shoulder inflammation (DTD)
2024-03-23,Raptors,Gary Trent Jr.,,returned to lineup
2024-03-24,Heat,,Jaime Jaquez Jr.,various injuries (DTD)
2024-03-24,Pistons,,Cade Cunningham,left knee injury (DTD)
2024-03-25,76ers,,Kelly Oubre Jr.,sore left shoulder (DTD)
2024-03-25,Celtics,,Derrick White,sprained right hand (DTD)
2024-03-25,Grizzlies,Lamar Stevens,,returned to lineup
2024-03-25,Hornets,J.T. Thor,,returned to lineup
2024-03-25,Knicks,,Alec Burks,sprained right shoulder (DTD)
2024-03-25,Nets,,Cam Thomas,tightness in lower back (DTD)
2024-03-25,Wizards,,Deni Avdija,illness (DTD)
2024-03-25,76ers,Kai Jones,,returned to lineup
2024-03-26,Heat,Jaime Jaquez Jr.,,returned to lineup
2024-03-26,Lakers,,LeBron James,left ankle injury (DTD)
2024-03-26,Wizards,illness (DTD),,returned to lineup
2024-03-27,76ers,Kelly Oubre Jr.,,returned to lineup
2024-03-27,Celtics,Derrick White,,returned to lineup
2024-03-27,Lakers,LeBron James,,returned to lineup
2024-03-27,Nets,Cam Thomas,,returned to lineup
2024-03-27,Pistons,,Jaden Ivey,sore left knee (DTD)
2024-03-27,Pistons,Cade Cunningham,,returned to lineup
2024-03-27,Pistons,Jalen Duren,,returned to lineup
2024-03-27,Suns,,Jusuf Nurkic,sprained right ankle (DTD)
2024-03-28,Blazers,,Toumani Camara,bruised left rib (DTD)
2024-03-28,Celtics,,Al Horford,sprained left big toe (DTD)
2024-03-28,Pelicans,,Jose Alvarado,strained right oblique (DTD)
2024-03-29,Celtics,Al Horford,,returned to lineup
2024-03-29,Pistons,,Marcus Sasser,illness (DTD)
2024-03-29,Pistons,Jaden Ivey,,returned to lineup
2024-03-29,Suns,Jusuf Nurkic,,returned to lineup
2024-03-29,Warriors,,Klay Thompson,right knee tendinitis (DTD)
2024-03-31,76ers,,Tyrese Maxey,left hip injury (DTD)
2024-03-31,Blazers,,Matisse Thybulle,right ankle impingement (out for season)
2024-03-31,Lakers,,Jaxson Hayes,bruised left calf (DTD)
2024-03-31,Warriors,Klay Thompson,,returned to lineup
2024-04-01,Nets,,Cameron Johnson,sprained left big toe (DTD)
2024-04-01,Nets,,Dennis Smith Jr.,right hip injury (out for season)
2024-04-02,Bucks,,Jaylin Galloway,sprained right ankle (out for season)
2024-04-02,Lakers,Jaxson Hayes,,returned to lineup
2024-04-03,Grizzlies,,Santi Aldama,sore right foot (out for season)
2024-04-03,Hornets,,Miles Bridges,bruised right wrist (DTD)
2024-04-03,Hornets,,Vasilije Micic,strained right shoulder (DTD)
2024-04-03,Nets,Cameron Johnson,,returned to lineup
2024-04-03,Pistons,,Cade Cunningham,left knee injury (out for season)
2024-04-03,Pistons,Marcus Sasser,,returned to lineup
2024-04-03,Raptors,,Bruce Brown,sore right knee (DTD)
2024-04-03,Raptors,,Gary Trent Jr.,back spasms (DTD)
2024-04-03,Raptors,,R.J. Barrett,left knee injury (DTD)
2024-04-03,Wizards,,Johnny Davis (Christian),sprained left ankle (DTD)
2024-04-04,76ers,,Tobias Harris,bruised left knee (DTD)
2024-04-04,76ers,Tyrese Maxey,,returned to lineup
2024-04-04,Grizzlies,,Brandon Clarke,left Achilles injury (DTD)
2024-04-04,Knicks,,Julius Randle,surgery on right shoulder (out for season)
2024-04-04,Raptors,R.J. Barrett,,returned to lineup
2024-04-04,76ers,,Mo Bamba,illness (DTD)
2024-04-05,Grizzlies,,Luke Kennard,sore left knee (out for season)
2024-04-05,Hornets,Miles Bridges,,returned to lineup
2024-04-05,Hornets,Vasilije Micic,,returned to lineup
2024-04-05,Magic,,Jonathan Isaac,back spasms (DTD)
2024-04-05,Mavericks,,Maxi Kleber,back spasms (DTD)
2024-04-05,Pelicans,,Zion Williamson,bruised left finger (DTD)
2024-04-05,Raptors,Gary Trent Jr.,,returned to lineup
2024-04-05,Wizards,Johnny Davis (Christian),,returned to lineup
2024-04-06,Grizzlies,,Lamar Stevens,left groin injury (DTD)
2024-04-06,Grizzlies,Brandon Clarke,,returned to lineup
2024-04-06,Magic,Jonathan Isaac,,returned to lineup
2024-04-06,Nets,,Cameron Johnson,sprained left big toe (DTD)
2024-04-06,Pistons,,Evan Fournier,sore right knee (DTD)
2024-04-06,Pistons,,Jalen Duren,sprained left ankle (DTD)
2024-04-07,76ers,Mo Bamba,,returned to lineup
2024-04-07,Mavericks,Maxi Kleber,,returned to lineup
2024-04-07,Nets,,Dorian Finney-Smith,left knee injury (out for season)
2024-04-07,Nets,,Nic Claxton,sprained left ankle (DTD)
2024-04-07,Pelicans,Zion Williamson,,returned to lineup
2024-04-07,Raptors,Bruce Brown,,returned to lineup
2024-04-07,Wizards,,Anthony Gill,sore right knee (DTD)
2024-04-08,Pistons,Jalen Duren,,returned to lineup
2024-04-09,76ers,,K.J. Martin,bruised left toe (out for season)
2024-04-09,Blazers,,Shaedon Sharpe,surgery on abdominal (out for season)
2024-04-09,Lakers,,Anthony Davis,headache (DTD)
2024-04-09,Nets,,Jaylen Martin,sprained left ankle (out for season)
2024-04-09,Pistons,Evan Fournier,,returned to lineup
2024-04-09,Raptors,,Gradey Dick,right groin injury (DTD)
2024-04-09,Wizards,,Tristan Vukcevic,sore left knee (DTD)
2024-04-09,Wizards,Anthony Gill,,returned to lineup
2024-04-10,Grizzlies,,Brandon Clarke,bruised right hand (out for season)
2024-04-10,Grizzlies,Lamar Stevens,,returned to lineup
2024-04-10,Hawks,,Dejounte Murray,bruised right quadriceps (DTD)
2024-04-10,Hawks,,Wes Matthews Jr.,right hamstring injury (DTD)
2024-04-10,Nets,Cameron Johnson,,returned to lineup
2024-04-10,Nets,Nic Claxton,,returned to lineup
2024-04-10,Raptors,,Bruce Brown,right knee inflammation (DTD)
2024-04-10,Raptors,,Gary Trent Jr.,back spasms (DTD)
2024-04-10,Raptors,Gradey Dick,,returned to lineup
2024-04-11,Wizards,Tristan Vukcevic,,returned to lineup
2024-04-12,Bulls,,Alex Caruso,bruised left ankle (DTD)
2024-04-12,Celtics,,Derrick White,sprained left ankle (DTD)
2024-04-12,Hawks,Dejounte Murray,,returned to lineup
2024-04-12,Knicks,,Miles McBride,illness (DTD)
2024-04-12,Lakers,Anthony Davis,,returned to lineup
2024-04-12,Nets,,Cameron Johnson,sprained left big toe (out for season)
2024-04-12,Pistons,,Jalen Duren,lower back spasms (out for season)
2024-04-12,Raptors,Bruce Brown,,returned to lineup
2024-04-12,Raptors,Gary Trent Jr.,,returned to lineup
2024-04-12,Wizards,,Jordan Poole,illness (out for season)
2024-04-13,Bulls,Alex Caruso,,returned to lineup
2024-04-13,Knicks,Miles McBride,,returned to lineup
2024-04-13,Mavericks,,Dante Exum,sprained right foot (DTD)
2024-04-13,Mavericks,,Derrick Jones Jr.,sprained left shoulder (DTD)
2024-04-13,Rockets,,Dillon Brooks,left adductor injury (DTD)
2024-04-14,76ers,,De'Anthony Melton,back injury (DTD)
2024-04-14,76ers,,Joel Embiid,left knee injury (out for season)
2024-04-14,Blazers,,Scoot Henderson,sore left hip (out for season)
2024-04-14,Hornets,,Davis Bertans,sore Achilles (out for season)
2024-04-14,Raptors,,R.J. Barrett,sore knee (out for season)
2024-04-14,Wizards,,Tristan Vukcevic,sprained right ankle (out for season)
2024-04-16,Bulls,,Onuralp Bitim,detached retina in right eye (out for season)
2024-04-18,Heat,,Jimmy Butler,MCL injury in right knee (out for season)
2024-04-20,Kings,,Kevin Huerter,surgery on left shoulder to repair torn labrum (out for season) (date approximate)
2024-04-21,Celtics,Derrick White,,returned to lineup
2024-04-21,Mavericks,Dante Exum,,returned to lineup
2024-04-21,Mavericks,Derrick Jones Jr.,,returned to lineup
2024-04-25,Mavericks,,Olivier-Maxence Prosper,sprained left ankle (DTD)
2024-04-28,Knicks,,Mitchell Robinson,sprained left ankle (DTD)
2024-04-29,Heat,Delon Wright,,returned to lineup
2024-04-29,Knicks,,Bojan Bogdanovic,bruised left ankle (DTD)
2024-04-30,Cavaliers,,Jarrett Allen,bruised rib (out for season)
2024-04-30,Celtics,,Kristaps Porzingis,strained right calf (out indefinitely)
2024-04-30,Heat,,Jaime Jaquez Jr.,strained right hip flexor (out for season)
2024-04-30,Knicks,Mitchell Robinson,,returned to lineup
2024-05-03,Magic,,Gary Harris,strained right hamstring (DTD)
2024-05-05,Magic,Gary Harris,,returned to lineup
2024-05-09,Knicks,,O.G. Anunoby,strained left hamstring (DTD)
2024-05-13,Cavaliers,,Donovan Mitchell,strained left calf (out for season)
2024-05-14,Timberwolves,,Mike Conley Jr.,sore right Achilles (DTD)
2024-05-15,Cavaliers,,Caris LeVert,bruised left knee (out for season)
2024-05-16,Timberwolves,Mike Conley Jr.,,returned to lineup
2024-05-19,Knicks,O.G. Anunoby,,returned to lineup
